id_Char;id_Questao;Enunciado;A;B;C;D;E;F;G;H;I;J;K;L
TX_RESP_Q045;Questão 45;Atualmente você trabalha fora de casa (recebendo ou não um salário)?;Sim.;Não.;;;;;;;;;;
TX_RESP_Q046;Questão 46;Quando você entrou na escola?;Na creche (0 a 3 anos).;Na pré-escola (4 a 5 anos).;Na primeira série ou primeiro ano (6 a 7 anos).;Depois da primeira série.;;;;;;;;
TX_RESP_Q047;Questão 47;A partir da quinta série ou sexto ano, em que tipo de escola você estudou?;Somente em escola pública.;Somente em escola particular.;Em escola pública e em escola particular.;;;;;;;;;
TX_RESP_Q048;Questão 48;Você já foi reprovado?;Não.;Sim, uma vez.;Sim, duas vezes ou mais.;;;;;;;;;
TX_RESP_Q049;Questão 49;Você já abandonou a escola durante o período de aulas e ficou fora da escola o resto do ano?;Não.;Sim, uma vez.;Sim, duas vezes ou mais.;;;;;;;;;
TX_RESP_Q050;Questão 50;Você gosta de estudar Língua Portuguesa?;Sim.;Não.;;;;;;;;;;
TX_RESP_Q051;Questão 51;Você faz o dever de casa de Língua Portuguesa?;Sempre ou quase sempre.;De vez em quando.;Nunca ou quase nunca.;O(A) professor(a) não passa dever de casa.;;;;;;;;
TX_RESP_Q052;Questão 52;O(A) professor(a) corrige o dever de casa de Língua Portuguesa?;Sempre ou quase sempre.;De vez em quando.;Nunca ou quase nunca.;O(A) professor(a) não passa dever de casa.;;;;;;;;
TX_RESP_Q053;Questão 53;Você gosta de estudar Matemática?;Sim.;Não.;;;;;;;;;;
TX_RESP_Q054;Questão 54;Você faz o dever de casa de Matemática?;Sempre ou quase sempre.;De vez em quando.;Nunca ou quase nunca.;O(A) professor(a) não passa dever de casa.;;;;;;;;
TX_RESP_Q055;Questão 55;O(A) professor(a) corrige o dever de casa de Matemática?;Sempre ou quase sempre.;De vez em quando.;Nunca ou quase nunca.;O(A) professor(a) não passa dever de casa.;;;;;;;;
TX_RESP_Q056;Questão 56;Você utiliza a biblioteca ou sala de leitura da sua escola?;Sempre ou quase sempre.;De vez em quando.;Nunca ou quase nunca.;A escola não possui biblioteca ou sala de leitura.;;;;;;;;
TX_RESP_Q057;Questão 57;Quando você terminar o 9º ano(8ª série) você pretende:;Somente continuar estudando.;Somente trabalhar.;Continuar estudando e trabalhar.;Ainda não sei.;;;;;;;;
